SessionId	UserId	ItemId	Timestamp	BehaviorType	TimeId
1000868_7	1000868	377216	1435168995294	view	7
1000868_7	1000868	221317	1435171922915	view	7
1001546_1	1001546	29393	1431279603932	view	1
1001546_1	1001546	339975	1431280024323	view	1
1001546_1	1001546	29393	1431280038267	view	1
1001546_1	1001546	29393	1431280231718	view	1
1004126_14	1004126	260539	1439399381738	view	14
1004126_14	1004126	182157	1439399456264	view	14
1004126_14	1004126	260539	1439399499063	view	14
1004126_14	1004126	182157	1439399576298	view	14
1004126_14	1004126	260539	1439399631762	view	14
1005681_6	1005681	208939	1434579686074	view	6
1005681_6	1005681	175885	1434579854198	view	6
1005681_6	1005681	208939	1434579885341	view	6
1005681_6	1005681	175885	1434579893304	view	6
1005681_6	1005681	175885	1434579911447	view	6
1005681_6	1005681	175885	1434579920232	view	6
100998_4	100998	36471	1433284461928	view	4
100998_4	100998	36471	1433284632381	view	4
100998_4	100998	36471	1433346171274	view	4
1010169_14	1010169	299222	1439096597242	view	14
1010169_14	1010169	299222	1439096631014	view	14
1010169_14	1010169	299222	1439097686514	view	14
1011337_5	1011337	41847	1434191019747	view	5
1011337_5	1011337	41847	1434191254053	view	5
1011337_5	1011337	41847	1434192264576	view	5
1012289_6	1012289	347414	1434488784609	view	6
1012289_6	1012289	309778	1434488858511	view	6
1012289_6	1012289	47526	1434488953837	view	6
1012289_6	1012289	309778	1434491770359	view	6
1012289_6	1012289	309778	1434497225182	view	6
1012688_9	1012688	52928	1436066906917	view	9
1012688_9	1012688	52928	1436066926721	view	9
1012688_9	1012688	235047	1436066986663	view	9
101394_5	101394	95592	1434246962023	view	5
101394_5	101394	63652	1434247191506	view	5
101394_5	101394	99786	1434247349293	view	5
101394_5	101394	130500	1434247603226	view	5
101394_5	101394	95592	1434247604851	view	5
101394_5	101394	252043	1434248581128	view	5
101394_5	101394	95592	1434248832314	view	5
1017065_1	1017065	37035	1431651742998	view	1
1017065_1	1017065	37035	1431651992799	addtocart	1
1017065_1	1017065	37035	1431652509983	view	1
1021544_14	1021544	119804	1439605830002	view	14
1021544_14	1021544	84149	1439608221027	view	14
1021544_14	1021544	251349	1439610189821	view	14
1021544_14	1021544	46443	1439610246190	view	14
1021544_14	1021544	159380	1439610322230	view	14
1021544_14	1021544	17419	1439610648966	view	14
1021544_14	1021544	380169	1439610726936	view	14
1021544_14	1021544	159380	1439610844668	view	14
1021544_14	1021544	159380	1439611512971	addtocart	14
1021544_14	1021544	159380	1439611555824	view	14
1021544_14	1021544	84149	1439620253879	view	14
1021544_14	1021544	159380	1439623362422	view	14
1021825_11	1021825	161135	1437684554920	view	11
1021825_11	1021825	42145	1437684593005	view	11
1021825_11	1021825	161135	1437685542987	view	11
1024655_8	1024655	293035	1435944470332	view	8
1024655_8	1024655	154631	1435944560326	view	8
1024655_8	1024655	459936	1435944600041	view	8
1024655_8	1024655	258608	1435944618575	view	8
1024655_8	1024655	342357	1435944840346	view	8
10246_1	10246	463118	1431797946017	view	1
